"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Forges on t&rsquo;aime";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Doulon - Bottière";"01-01-2015";"2015";"47.227054";"-1.518301";"http://www.compostri.fr/wp-content/uploads/2015/12/forges-on-taime-e1449226667643-150x150.jpg";"http://www.compostri.fr/compost/forges-on-taime/"
"Blordière";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Rezé";"01-01-2015";"2015";"47.180299";"-1.533312";"http://www.compostri.fr/wp-content/uploads/2015/12/20151114_112415-150x150.jpg";"http://www.compostri.fr/compost/blordiere/"
"Koufra";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Nantes Erdre";"14-11-2015";"2015";"47.243691";"-1.528226";"http://www.compostri.fr/wp-content/uploads/2015/12/koufra-e1453473473420-150x150.jpg";"http://www.compostri.fr/compost/koufra/"
"Ecole Pont Marchand";"Composteur Pédagogique en établissement scolaire";"Silos 2x2.5m3";"En service";"Orvault";"";"2015";"47.263677";"-1.631934";"http://www.compostri.fr/wp-content/uploads/2015/12/20151021_113409-e1454323109696-150x150.jpg";"http://www.compostri.fr/compost/ecole-pont-marchand/"
"La Source";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"01-01-2015";"2015";"47.306035";"-1.554568";"http://www.compostri.fr/wp-content/uploads/2015/11/compostage-tous-les-etages-dans-les-quartiers-de-la-ville-150x150.jpg";"http://www.compostri.fr/compost/la-source-la-chapelle-sur-erdre/"
"Kanopé";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Malakoff - Saint-Donatien";"19-06-2016";"2015";"47.2151";"-1.5351";"http://www.compostri.fr/wp-content/uploads/2015/09/1er-retournement-site-Kanop-®-2-150x150.jpg";"http://www.compostri.fr/compost/kanope/"
"Centre Socio-culturel &#8211; Port-au-Blé";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Rezé";"01-09-2013";"2013";"47.191435";"-1.5584036000000197";"http://www.compostri.fr/wp-content/uploads/2015/01/CSC-Port-au-blé-Montage-31-150x150.jpg";"http://www.compostri.fr/compost/centre-socio-culturel-maison-du-port-au-ble/"
"Résidence Clos de L&rsquo;Erdre";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes Erdre";"21-07-2016";"2014";"47.2620375";"-1.5278637000000117";"http://www.compostri.fr/wp-content/uploads/2015/01/1er-ertournement-1-150x150.jpg";"http://www.compostri.fr/compost/residence-clos-de-lerdre-nantes/"
"Centre Socio-Culturel Soleil Levant";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Saint-Herblain";"30-09-2013";"2013";"47.219692";"-1.609410";"http://www.compostri.fr/wp-content/uploads/2015/01/CSC-Soleil-levant-6-150x150.jpg";"http://www.compostri.fr/compost/centre-socio-culturel-soleil-levant/"
"Naturalie-Chénaie";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Doulon - Bottière";"25-03-2013";"2013";"47.239343";"-1.515182";"http://www.compostri.fr/wp-content/uploads/2015/01/Bottière-Chesnaie-Ilot6-91-150x150.jpg";"http://www.compostri.fr/compost/naturalie-chenaie/"
"Duguesclin";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"07-12-2016";"2010";"47.195455";"-1.523846";"http://www.compostri.fr/wp-content/uploads/2015/01/Duguesclin-150x150.jpg";"http://www.compostri.fr/compost/duguesclin/"
"Monfoulon";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En projet";"Nantes centre";"27-05-2015";"2015";"47.2247686";"-1.548586699999987";"http://www.compostri.fr/wp-content/uploads/2015/06/installation-et-mise-en-route-1-150x150.jpg";"http://www.compostri.fr/compost/monfoulon-nantes/"
"Utrillo";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Rezé";"09-01-2015";"2015";"47.1808775";"-1.5616284999999834";"http://www.compostri.fr/wp-content/uploads/2015/06/photo-groupe-150x150.jpeg";"http://www.compostri.fr/compost/utrillo-reze/"
"Square Vertais";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Île de Nantes";"02-09-2015";"2015";"47.202325";"-1.5470382";"http://www.compostri.fr/wp-content/uploads/2015/04/installation-2-150x150.jpg";"http://www.compostri.fr/compost/square-vertais-ile-de-nantes/"
"Environnements solidaires";"Composteur en résidence - copropriété";"Silos 2x2.5m3";"En service";"Saint-Herblain";"01-10-2014";"2015";"47.208005";"-1.614903";"http://www.compostri.fr/wp-content/uploads/2015/05/20150407_162653-150x150.jpg";"http://www.compostri.fr/compost/environnements-solidaires/"
"Beausoleil";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"";"2015";"47.3044761";"-1.5588801000000103";"http://www.compostri.fr/wp-content/uploads/2015/05/IMG_6287-150x150.jpg";"http://www.compostri.fr/compost/beausoleil-la-chapelle-sur-erdre/"
"Cantine du 8 mai";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Bouguenais";"02-01-2015";"2015";"47.1785721";"-1.620072299999947";"http://www.compostri.fr/wp-content/uploads/2015/05/bouguenais-cantine-150x150.jpg";"http://www.compostri.fr/compost/1469/"
"Jardins de Bitche &#8211; Nantes";"Composteur ouvert au quartier";"Silos 2x1m3";"En projet";"Nantes centre";"01-11-2014";"2014";"47.2125732";"-1.5412590999999338";"http://www.compostri.fr/wp-content/uploads/2015/04/jardins-bitche-150x150.jpg";"http://www.compostri.fr/compost/jardins-de-bitche/"
"La Nizanerie";"Composteur ouvert au quartier";"Pavillon 1,5 m3";"En service";"Île de Nantes";"23-03-2013";"2013";"47.2052437";"-1.5516660000000684";"http://www.compostri.fr/wp-content/uploads/2015/04/composteur-peint-150x150.jpg";"http://www.compostri.fr/compost/la-nizanerie-nantes/"
"Les jardins de Gaïa &#8211; Bouaye";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Silos 2x1m3";"En service";"Bouaye";"16-12-2014";"2014";"47.157406";"-1.675624";"http://www.compostri.fr/wp-content/uploads/2015/04/composteur-jardins-gaia-150x150.jpg";"http://www.compostri.fr/compost/les-jardins-de-gaia-bouaye/"
"Haubans";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Île de Nantes";"30-09-2016";"2015";"47.209349";"-1.5289678000000322";"http://www.compostri.fr/wp-content/uploads/2015/04/installation-et-mise-en-route-7-150x150.jpg";"http://www.compostri.fr/compost/haubans/"
"Compostîle";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En projet";"Île de Nantes";"31-12-2017";"2015";"47.206986";"-1.558905";"http://www.compostri.fr/wp-content/uploads/2015/03/installation-4-150x150.jpg";"http://www.compostri.fr/compost/place-des-erables/"
"Marion Cahour";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Hauts-Pavés - Saint-Félix";"30-09-2016";"2015";"47.222301";"-1.561171";"http://www.compostri.fr/wp-content/uploads/2015/03/1er-retournement-2-150x150.jpg";"http://www.compostri.fr/compost/marion-cahour/"
"Salonique";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Breil - Barberie";"30-09-2014";"2014";"47.2407654";"-1.5811751";"http://www.compostri.fr/wp-content/uploads/2015/03/1er-retournement-1-150x150.jpg";"http://www.compostri.fr/compost/salonique/"
"Passage de la prise d&rsquo;eau";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Nort sur Erdre";"13-12-2014";"2015";"47.442653";"-1.500773";"http://www.compostri.fr/wp-content/uploads/2015/01/20151007_190823-150x150.jpg";"http://www.compostri.fr/compost/passage-de-la-prise-deau/"
"Résidence Ralliement";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Malakoff - Saint-Donatien";"";"2014";"47.2226423";"-1.5294613999999456";"http://www.compostri.fr/wp-content/uploads/2015/01/Ralliement-150x150.jpg";"http://www.compostri.fr/compost/residence-ralliement-nantes/"
"Le Bourg";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"01-01-2014";"2014";"47.2088163";"-1.6487124999999878";"http://www.compostri.fr/wp-content/uploads/2015/01/1er-retourenment-le-bourg-saint-herblain-3-150x150.jpg";"http://www.compostri.fr/compost/le-bourg/"
"Belle Isle &#8211; Nantes";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Nantes Erdre";"";"2014";"47.2545665";"-1.5367369000000508";"http://www.compostri.fr/wp-content/uploads/2015/01/20141122_144938-150x150.jpg";"http://www.compostri.fr/compost/belle-isle/"
"Le Clos de la Rivaudière";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"30-09-2014";"2014";"47.225689";"-1.6504671000000144";"http://www.compostri.fr/wp-content/uploads/2015/01/Clos_Rivaudière-150x150.jpg";"http://www.compostri.fr/compost/le-clos-de-la-rivaudiere/"
"Maison Relais le Gué";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2014";"47.2068509";"-1.5747179999999616";"http://www.compostri.fr/wp-content/uploads/2015/01/Maison-relais-le-Gué-4-150x150.jpg";"http://www.compostri.fr/compost/maison-relais-le-gue-nantes/"
"La Fontaine";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes Nord";"28-04-2016";"2014";"47.247411";"-1.5707";"http://www.compostri.fr/wp-content/uploads/2015/01/Retournement-51-150x150.jpg";"http://www.compostri.fr/compost/la-fontaine/"
"Les Amandiers";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes Nord";"";"2013";"47.26220387488973";"-1.5750709176063538";"http://www.compostri.fr/wp-content/uploads/2015/01/Les-Amandiers-montage-1-150x150.jpg";"http://www.compostri.fr/compost/les-amandiers/"
"Crucy";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Nantes centre";"";"2013";"47.213238";"-1.548982";"http://www.compostri.fr/wp-content/uploads/2015/01/Crucy-NH-Avril-2013-2-150x150.jpg";"http://www.compostri.fr/compost/crucy/"
"La Cholière";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Orvault";"";"2015";"47.2492601";"-1.6049035999999433";"http://www.compostri.fr/wp-content/uploads/2015/01/Chollière-7-150x150.jpg";"http://www.compostri.fr/compost/la-choliere/"
"Les Anglais";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"";"2012";"47.2279913";"-1.5799531999999772";"http://www.compostri.fr/wp-content/uploads/2015/01/Nantes-20130511-00531-150x150.jpg";"http://www.compostri.fr/compost/les-anglais/"
"Rotereaux";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Rezé";"";"2012";"47.17241532914606";"-1.5274643898010254";"http://www.compostri.fr/wp-content/uploads/2015/01/Rottoreaux-montage-12-150x150.jpg";"http://www.compostri.fr/compost/rotereaux-reze/"
"Verdura";"Composteur en résidence - copropriété";"Pavillon 5 m3";"En service";"Nantes Nord";"01-10-2013";"2013";"47.2457435";"-1.5726994999999988";"http://www.compostri.fr/wp-content/uploads/2015/01/Verdura-1-150x150.jpg";"http://www.compostri.fr/compost/verdura/"
"Toscani-Sainte-Thérèse";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Breil - Barberie";"24-09-2013";"2013";"47.23216739999999";"-1.576319099999978";"http://www.compostri.fr/wp-content/uploads/2015/01/Toscani-ste-Thérèse-1-150x150.jpg";"http://www.compostri.fr/compost/toscani-sainte-therese/"
"Russeil";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"30-09-2009";"2009";"47.222923";"-1.562232";"http://www.compostri.fr/wp-content/uploads/2015/01/Russeil-150x150.jpg";"http://www.compostri.fr/compost/russeil/"
"Résidence Pierre de Coubertin";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Breil - Barberie";"31-08-2016";"2012";"47.226218";"-1.588087";"http://www.compostri.fr/wp-content/uploads/2015/01/Pierre-de-Coubertin-criblage-9-150x150.jpg";"http://www.compostri.fr/compost/residence-pierre-de-coubertin/"
"Murillo/Les Excuriales";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Nantes Erdre";"";"2010";"47.25805339999999";"-1.5169750999999678";"http://www.compostri.fr/wp-content/uploads/2015/01/Murillo-tamis-4-150x150.jpg";"http://www.compostri.fr/compost/murilloles-excuriales/"
"Maison Radieuse";"Composteur en résidence - copropriété";"Pavillon 20 m3";"En service";"Rezé";"18-08-2007";"2007";"47.1890984";"-1.5704894000000422";"http://www.compostri.fr/wp-content/uploads/2015/01/Maison-Radieuse-HabitantsCompostage-2-150x150.jpg";"http://www.compostri.fr/compost/maison-radieuse/"
"Limousin";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"";"2011";"47.2008957";"-1.4904340000000502";"http://www.compostri.fr/wp-content/uploads/2015/01/Limousin-mise-en-route-14-150x150.jpg";"http://www.compostri.fr/compost/rue-du-limousin-_-saint-sebastien-sur-loire/"
"Les Roses";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Nantes centre";"";"2013";"47.2184147";"-1.5760129000000234";"http://www.compostri.fr/wp-content/uploads/2015/01/Les-Roses-montage-8-150x150.jpg";"http://www.compostri.fr/compost/les-roses/"
"Le Golf";"Composteur en résidence - copropriété";"Pavillon 10 m3";"En service";"Saint-Herblain";"00-00-2011";"2011";"47.2384984";"-1.6044331000000511";"http://www.compostri.fr/wp-content/uploads/2015/02/Résidence_du_golf.StHerblain-150x150.jpg";"http://www.compostri.fr/compost/le-golf/"
"La Robertière";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Saint-Herblain";"01-01-2013";"2013";"47.2092388";"-1.6474002999999584";"http://www.compostri.fr/wp-content/uploads/2015/01/installation-msie-en-route-8-150x150.jpg";"http://www.compostri.fr/compost/la-robertiere/"
"La Reynière";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Orvault";"";"2011";"47.254879";"-1.578933";"http://www.compostri.fr/wp-content/uploads/2015/01/La-Reynière_web2-150x150.jpg";"http://www.compostri.fr/compost/la-reyniere-orvault/"
"La Martellière";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"21-07-2016";"2011";"47.1965613";"-1.5293607999999494";"http://www.compostri.fr/wp-content/uploads/2015/01/La-Martelière-inauguration-2-150x150.jpg";"http://www.compostri.fr/compost/la-martelliere/"
"La Closerie de l&rsquo;Arche";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"";"2012";"47.208299";"-1.502585";"http://www.compostri.fr/wp-content/uploads/2015/01/La-Closerie-criblage-2-150x150.jpg";"http://www.compostri.fr/compost/la-closerie-de-larche/"
"La Cailletière";"Composteur en résidence - copropriété";"Pavillon 5 m3";"En service";"Saint-Sébastien-sur-Loire";"08-12-2016";"2012";"47.205872";"-1.520853";"http://www.compostri.fr/wp-content/uploads/2015/01/La-Cailletière-1er-retournement-1-150x150.jpg";"http://www.compostri.fr/compost/la-cailletiere/"
"François Bruneau";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"";"2010";"47.2294584";"-1.5612923999999566";"http://www.compostri.fr/wp-content/uploads/2015/01/François-Bruneau-visite-mars2012-3-150x150.jpg";"http://www.compostri.fr/compost/francois-bruneau/"
"Erdre";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"";"2010";"47.206319";"-1.516141";"http://www.compostri.fr/wp-content/uploads/2015/01/Edre-3-150x150.jpg";"http://www.compostri.fr/compost/domaine-de-saint-sebastien/"
"Coulmiers";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Malakoff - Saint-Donatien";"01-01-2011";"2011";"47.223106";"-1.537304";"http://www.compostri.fr/wp-content/uploads/2015/01/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/bois-saint-louis-2/"
"Bois Saint louis";"Composteur en résidence - copropriété";"Pavillon 5 m3";"En service";"Orvault";"05-05-2012";"2012";"47.2462956";"-1.5791442";"http://www.compostri.fr/wp-content/uploads/2015/01/20150919_103254-150x150.jpg";"http://www.compostri.fr/compost/bois-saint-louis/"
"Beaulieu";"Composteur en résidence - copropriété";"Pavillon 20 m3";"En service";"Île de Nantes";"";"2009";"47.207748";"-1.540578";"http://www.compostri.fr/wp-content/uploads/2015/01/compos3-3b69b1-150x150.jpg";"http://www.compostri.fr/compost/beaulieu/"
"Vallon de l&rsquo;Epinais";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Grandchamp des Fontaines";"08-03-2014";"2014";"47.367328";"-1.605229";"http://www.compostri.fr/wp-content/uploads/2015/01/Vallon-epinais-photo-150x150.jpg";"http://www.compostri.fr/compost/vallon-de-lepinais-grandchamp-des-fontaines/"
"Sully";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Malakoff - Saint-Donatien";"07-09-2016";"2014";"47.222727";"-1.548422";"http://www.compostri.fr/wp-content/uploads/2015/01/Sully_nantes-150x150.jpg";"http://www.compostri.fr/compost/sully/"
"Le Vore&rsquo;Koff";"Composteur ouvert au quartier";"Composteur Ekovore";"En service";"Malakoff - Saint-Donatien";"01-01-2014";"2014";"47.21587875284195";"-1.5240184217691422";"http://www.compostri.fr/wp-content/uploads/2015/07/Référent-site-promo-1-35-150x150.jpg";"http://www.compostri.fr/compost/composteur-malakoff/"
"Cité des Hauts Pavés";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"03-10-2014";"2014";"47.224169";"-1.565516";"http://www.compostri.fr/wp-content/uploads/2015/01/hauts_Pavés-150x150.jpg";"http://www.compostri.fr/compost/hauts-paves-nantes/"
"Square Félix Thomas";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Hauts-Pavés - Saint-Félix";"25-10-2016";"2014";"47.231168";"-1.553320";"http://www.compostri.fr/wp-content/uploads/2015/01/1er-retournement-8-150x150.jpg";"http://www.compostri.fr/compost/square-felix-thomas/"
"Ecole Charles Lebourg &#8211;  Orrion Loquidy";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"";"2014";"47.23409350000001";"-1.5599150000000463";"http://www.compostri.fr/wp-content/uploads/2015/01/Retournement-8-150x150.jpg";"http://www.compostri.fr/compost/ecole-charles-lebourg-association-orrion-loquidy/"
